PIG_RACING |= 돼지 경주
SkillDesc_NaturesBounty |= 야생에서 자라는 아이템에 별 등급 1개와 추가 수확량을 더하세요.

GoddessOffering_HelpName |= 제물 도움말
GoddessOffering_Help |= 여신의 날이에요, 그러니 제물을 바쳐야 합니다. 여신들은 짝으로 이루어져 있어요. 축복을 받기 위해 한 여신에게 제물을 바치게 되면, 그 여신의 경쟁자는 당신에게 여신의 저주를 내려요.\n\n각 여신은 네 가지의 축복을 가지고 있어요. 각각의 축복은 별 등급을 가진 아이템이 각각 다르게 필요해요.\n\<left>이나 <right>를 누르거나 마우스 커서로 각 여신에게 제공되는 축복 중 하나를 선택하세요.\n\n축복을 선택하고 적절한 아이템을 제물로 바쳐 활성화하세요.\n\n축복을 선택하면 항상 경쟁 여신으로부터 저주를 받게 되니, 제물을 바치기 전에 확인하세요.\n\n축복과 저주는 일주일 동안 지속 됩니다. 한 가지의 제물만 필요하며 제물을 바치지 않으면 타이밍을 놓치게 될 수 있으니 7일마다 꼭 확인하세요!
GoddessOfferingDescBoon1Druida |= 수확한 모든 베리가 낮은 확률로 두 배의 수확량을 얻습니다.
GoddessOfferingDescBoon2Druida |= 수확한 모든 베리가 중간의 확률로 두 배의 수확량을 얻습니다.
GoddessOfferingDescBoon3Druida |= 수확한 모든 베리가 높은 확률로 두 배의 수확량을 얻습니다.
GoddessOfferingDescBlessingDruida |= 수확한 과일이나 베리가 2개의 추가 별 등급을 가지게 됩니다.
GoddessOfferingDescJinx1Druida |= 각 나무나 덤불에서 수확할 수 있는 과일이나 베리가 1개로 줄어듭니다.
GoddessOfferingDescJinx2Druida |= 과일과 베리가 보충되는 데 하루 더 걸립니다.
GoddessOfferingDescJinx3Druida |= 수확한 모든 과일과 베리의 별 등급이 한 개로 제한됩니다.
GoddessOfferingDescCurseDruida |= 농장에서 과일이나 베리가 자라지 않습니다.
GoddessOfferingDescBoon1Freyl |= 수확한 모든 작물이 낮은 확률로 두 배의 수확량을 얻습니다.
GoddessOfferingDescBoon2Freyl |= 수확한 모든 작물이 중간 확률로 두 배의 수확량을 얻습니다.
GoddessOfferingDescBoon3Freyl |= 작물을 수확할 때마다 계절 작물을 랜덤으로 얻습니다.
GoddessOfferingDescBlessingFreyl |= 수확한 각 작물이 2개의 추가 별 등급을 가지게 됩니다.
GoddessOfferingDescJinx1Freyl |= 각 작물은 하나의 아이템만 생산할 수 있습니다.
GoddessOfferingDescJinx2Freyl |= 작물이 자라려면 하루 더 소요됩니다.
GoddessOfferingDescJinx3Freyl |= 작물의 별 등급이 한 개로 제한됩니다.
GoddessOfferingDescCurseFreyl |= 작물이 자라지 않습니다.
GoddessOfferingDescBoon1Aurore |= 광석을 캘 때 추가 별 등급을 획득 할 수 있습니다.
GoddessOfferingDescBoon2Aurore |= 화창한 날씨에 주민들과 상호작용할 때 더 많은 우정 포인트를 얻게 됩니다.
GoddessOfferingDescBoon3Aurore |= 수확한 허브가 두 배의 수확량을 얻습니다.
GoddessOfferingDescBlessingAurore |= 다른 계절의 작물도 농장에서 재배할 수 있습니다.
GoddessOfferingDescJinx1Aurore |= 광석이 보충되는데 하루 더 소요됩니다.
GoddessOfferingDescJinx2Aurore |= 비가 오는 날씨에 주민들과 상호작용할 때 더 적은 우정 포인트를 얻게 됩니다.
GoddessOfferingDescJinx3Aurore |= 허브가 자라지 않습니다.
GoddessOfferingDescCurseAurore |= 윌로우다운 농장의 모든 성장 아이템과 물고기는 겨울 조건이 적용됩니다.
GoddessOfferingDescBoon1Naida |= 실패가 없습니다.
GoddessOfferingDescBoon2Naida |= 낫으로 베어낸 풀에서 씨앗을 찾을 확률이 낮습니다.
GoddessOfferingDescBoon3Naida |= 아기가 나올 확률이 더 높습니다.
GoddessOfferingDescBlessingNaida |= 아이들은 XP를 두 배 더 빨리 배우고 얻습니다.
GoddessOfferingDescJinx1Naida |= 실패할 가능성이 높습니다.
GoddessOfferingDescJinx2Naida |= 아이들은 XP를 더 느리게 배우고 얻습니다.
GoddessOfferingDescJinx3Naida |= 아기는 불가능합니다.
GoddessOfferingDescCurseNaida |= 집안의 모든 아이들은 개구리가 됩니다.
GoddessOfferingDescBoon1Hyalis |= 닭은 매일 여분의 알을 낳습니다.
GoddessOfferingDescBoon2Hyalis |= 전투에 사용된 아이템을 다시 얻을 확률이 있습니다.
GoddessOfferingDescBoon3Hyalis |= 물고기 스폰율이 증가했습니다.
GoddessOfferingDescBlessingHyalis |= 전투 중 자유롭게 부활이 가능합니다.
GoddessOfferingDescJinx1Hyalis |= 꿀벌은 꿀을 생산하지 않습니다.
GoddessOfferingDescJinx2Hyalis |= 닭이 산란하지 않습니다.
GoddessOfferingDescJinx3Hyalis |= 물고기 스폰율이 감소했습니다.
GoddessOfferingDescCurseHyalis |= 배우자, 자녀 및 애완 동물이 늙습니다.
GoddessOfferingDescBoon1Morvenna |= 방당 화살 1개를 회복합니다.
GoddessOfferingDescBoon2Morvenna |= 몬스터 치명타 확률이 감소했습니다.
GoddessOfferingDescBoon3Morvenna |= 전투 중 애완동물 재충전 시간이 감소됩니다.
GoddessOfferingDescBlessingMorvenna |= 애완동물은 자동으로 먹이를 먹고 행복해집니다.
GoddessOfferingDescJinx1Morvenna |= 각 몬스터로부터 전리품을 얻을 확률이 없습니다.
GoddessOfferingDescJinx2Morvenna |= 애완동물 전투 능력 재충전 시간이 증가했습니다.
GoddessOfferingDescJinx3Morvenna |= 약탈한 각 아이템은 별 1을 잃습니다.
GoddessOfferingDescCurseMorvenna |= 전투 중에는 화살을 사용할 수 없습니다.
GoddessOfferingBoon1Druida |= 베리 베리
GoddessOfferingBoon2Druida |= Bumpin' Rind
GoddessOfferingBoon3Druida |= Nick Berries
GoddessOfferingBlessingDruida |= Super Star Fruit
GoddessOfferingJinx1Druida |= Withering Heights
GoddessOfferingJinx2Druida |= Slo-Gro
GoddessOfferingJinx3Druida |= Bad Nature
GoddessOfferingCurseDruida |= Fruitless
GoddessOfferingBoon1Freyl |= Matching Plants
GoddessOfferingBoon2Freyl |= Crop Top
GoddessOfferingBoon3Freyl |= Wild Oats
GoddessOfferingBlessingFreyl |= Salad Days
GoddessOfferingJinx1Freyl |= Slim Pickings
GoddessOfferingJinx2Freyl |= Slow Sprouts
GoddessOfferingJinx3Freyl |= Soiled Goods
GoddessOfferingCurseFreyl |= Mutiny on the Bounty
GoddessOfferingBoon1Aurore |= Ore Blimey!
GoddessOfferingBoon2Aurore |= Cheery Sun
GoddessOfferingBoon3Aurore |= Herbivoracious
GoddessOfferingBlessingAurore |= Unseasonal Bounty
GoddessOfferingJinx1Aurore |= Geological Speed
GoddessOfferingJinx2Aurore |= Blue Rain
GoddessOfferingJinx3Aurore |= No Natural Ingredients
GoddessOfferingCurseAurore |= 영원한 겨울
GoddessOfferingBoon1Naida |= Performance Enhancement
GoddessOfferingBoon2Naida |= Super Grass
GoddessOfferingBoon3Naida |= Stud Farmer
GoddessOfferingBlessingNaida |= Nice Little Learner
GoddessOfferingJinx1Naida |= The Early Worm
GoddessOfferingJinx2Naida |= Oaf of Bred
GoddessOfferingJinx3Naida |= Lazy Stork
GoddessOfferingCurseNaida |= Frogchild
GoddessOfferingBoon1Hyalis |= Eggstra! Eggstra!
GoddessOfferingBoon2Hyalis |= Frugal Fighting
GoddessOfferingBoon3Hyalis |= Pond Life
GoddessOfferingBlessingHyalis |= 1-UP
GoddessOfferingJinx1Hyalis |= Worker's Strike
GoddessOfferingJinx2Hyalis |= Lay-Offs At The Coop
GoddessOfferingJinx3Hyalis |= De-spawn Point
GoddessOfferingCurseHyalis |= Retirement Home
GoddessOfferingBoon1Morvenna |= Dart More
GoddessOfferingBoon2Morvenna |= Clumsy Critters
GoddessOfferingBoon3Morvenna |= Animal Magic
GoddessOfferingBlessingMorvenna |= Pet Care
GoddessOfferingJinx1Morvenna |= Monsters With No Pockets
GoddessOfferingJinx2Morvenna |= Cat Nap
GoddessOfferingJinx3Morvenna |= Spoiled Spoils
GoddessOfferingCurseMorvenna |= Quiver Me Timbers!
Bubble_Name_Stove |= 스토브
Bubble_Desc_Stove |= 스토브는 다양한 요리법을 요리하고 구울 수 있는 곳입니다. 조리된 음식은 날 음식보다 특성 효과가 더 강하고 별 등급에 따라 지속 시간이 길어집니다. 조리된 음식은 더 높은 가치를 지닙니다.
Bubble_Name_BlacksmithLedger |= 대장간 장부
Bubble_Desc_BlacksmithLedger |= 장부를 사용하면 직원 고용 및 해고, 임금 및 근무 시간 변경, 계정 확인, 특혜 잠금 해제 등을 수행할 수 있습니다. 장부의 왼쪽에 있는 탭을 사용하여 다양한 옵션을 확인하세요. 대장간에서는 직원 2명을 고용할 수 있으며 카운터와 대장간을 담당할 사람을 지정할 수 있습니다.
Bubble_Name_ApothecaryLedger |= 약재상 장부
Bubble_Desc_ApothecaryLedger |= 장부을 사용하면 직원 고용 및 해고, 임금 및 근무 시간 변경, 계정 확인, 특혜 잠금 해제 등을 수행할 수 있습니다. 장부의 왼쪽에 있는 탭을 사용하여 다양한 옵션을 확인하세요. 약재상에서는 직원 1명을 고용할 수 있습니다.
Bubble_Name_GoodStoreLedger |= 물품 상점 장부
Bubble_Desc_GoodStoreLedger |= 장부을 사용하면 직원 고용 및 해고, 임금 및 근무 시간 변경, 계정 확인, 특전 잠금 해제 등을 수행할 수 있습니다. 장부의 왼쪽에 있는 탭을 사용하여 다양한 옵션을 확인하세요.
Bubble_Name_ApothecaryGrind |= 약재상 파우더
Bubble_Desc_ApothecaryGrind |= 치료제를 만들기 위해 상호 작용하십시오. 레시피 책에서 치료제를 선택하세요. 제작 섹션에서 더 많은 도움을 받으려면 미니게임 중에 화면에서 도움말 옵션을 선택하세요.
Bubble_Name_ApothecaryInfusion |= 약재상 크림
Bubble_Desc_ApothecaryInfusion |= 치료제를 만들기 위해 상호 작용하십시오. 레시피 책에서 치료제를 선택하세요. 제작 섹션에서 더 많은 도움을 받으려면 미니게임 중에 화면에서 도움말 옵션을 선택하세요.
Bubble_Name_ApothecaryDistill |= 약재상 물약
Bubble_Desc_ApothecaryDistill |= 치료제를 만들기 위해 상호 작용하십시오. 레시피 책에서 치료제를 선택하세요. 제작 섹션에서 더 많은 도움을 받으려면 미니게임 중에 화면에서 도움말 옵션을 선택하세요.
Bubble_Name_OfferingPlinth |= 브라우니 그릇
Bubble_Desc_OfferingPlinth |= 프롤로그가 끝나면, 브라우니 가족을 달래기 위해 매일 제물을 바쳐야 합니다. 배우자가 대신 제물을 바칠 수 있습니다. 하루를 놓칠 때마다 징크스가 하나씩 증가하지만, 제물을 바치면 징크스가 하나씩 제거됩니다. 최대 징크스 레벨은 5입니다. 제물의 종류는 중요하지 않습니다.
Bubble_Name_GoddessStatue |= 여신상
Bubble_Desc_GoddessStatue |= 여신의 날(7일과 14일)에 여신상을 사용하여 축복을 받으세요. 공양 시스템에 대한 추가 도움을 받으려면 공양할 때 도움말 버튼을 사용하세요.\n사과 1개의 비용으로 잠금 해제된 다른 여신상으로 빠르게 이동하고 현재 축복/저주 상태를 볼 수도 있습니다.
Bubble_Name_Scheduler |= 가족 스케줄러
Bubble_Desc_Scheduler |= 결혼했거나 가족이 있는 경우, 이 가족 스케줄러를 사용해 가족에게 명령을 내릴 수 있습니다. 가족은 플레이어가 설정한 작업을 수행합니다. 플레이어는 가족을 식량 채집에 보낼 수도 있습니다. 가족에게 장비를 장착해 식량의 질과 양을 조절하고 이동 경로를 지정할 수 있습니다. 전투 지역으로 보낸 가족 구성원(18세 이상만 해당)은 부상을 당할 수 있지만 사망하지는 않습니다. 인터페이스 상단의 탭을 사용하여 탐색할 수 있습니다.
Bubble_Name_Well |= 우물
Bubble_Desc_Well |= 우물 옆에서 <interact> 누르거나 양동이/병에 물을 채우세요. 양동이에 물을 부어 물통을 채울 수 있습니다.
Bubble_Name_Trough |= 여물통
Bubble_Desc_Trough |= 주석 양동이를 가져다가 우물에서 물을 채운 다음 여물통 옆에 부어 물을 채웁니다. 비도 여물통에 채워집니다. 목이 마른 동물은 며칠이 지나면 불행해집니다..
Bubble_Name_BeeHive |= 벌집
Bubble_Desc_BeeHive |= 벌집 옆에서 병이나 양동이를 사용하여 꿀을 채우세요. <interact>를 눌러 용기를 자동으로 채우거나 빈 용기를 들고 벌집 옆에 사용할 수 있습니다. 꿀은 다양한 레시피에 사용할 수 있습니다. 벌집의 점으로 벌집에 꿀이 들어 있는지 확인할 수 있습니다. 벌은 매일 다시 꿀을 채웁니다.
Bubble_Name_Cow |= 소
Bubble_Desc_Cow |= 젖소는 불멸의 존재이며 우유를 줍니다. 젖소에게 주석 양동이이나 병을 사용하여 우유를 얻으세요. 소는 먹이를 줄 필요가 없습니다. 젖소는 여신을 불쾌하게 한 저주받은 사람들이라고 믿지만, 누군가 그렇게 말하면 "그냥 젖이나 짜라"라고 말하세요. 
Bubble_Name_FarmableArea |= 작물 밭
Bubble_Desc_FarmableArea |= 작물 밭과 상호작용하여 심을 수 있는 씨앗 목록을 불러올 수 있습니다. [help]을 사용해 작물의 상태를 확인합니다. 녹색 점은 그날 물을 주었음을 의미하며(물뿌리개 사용 또는 비가 올 때까지 기다림), 점의 개수는 수확할 준비가 될 때까지 남은 일수를 나타냅니다. 낫의 레벨이 올라가고 보너스가 주어지므로 낫을 사용해 작물을 수확하세요.
Bubble_Name_XXXXX |= 잡화점 상품 테이블
Bubble_Desc_XXXXX |= 여기에 최고의 아이템을 올려 보너스를 받으세요.
Bubble_Name_ShopWindowPlinth |= 잡화점 창문 테이블
Bubble_Desc_ShopWindowPlinth |= 창에 배치된 아이템은 창문 쇼핑객을 끌어들일 수 있으므로 여기에 좋은 아이템을 배치하세요.
Bubble_Name_ShopPlinth |= 잡화점 받침대
Bubble_Desc_ShopPlinth |= 이 진열대 위에 아이템을 올려놓고 판매할 수 있습니다. 선반에 쌓을 수 있는 만큼 배치한 후 가격을 설정합니다.
Bubble_Name_BlacksmithCrafting |= 대장장이 대장간
Bubble_Desc_BlacksmithCrafting |= 대장간을 사용해 도구를 제작합니다. 미니게임 내 도움말 버튼을 사용해 현재 수행 중인 작업과 조작법에 대한 정보를 확인하세요.
Bubble_Name_BlacksmithStock |= 대장간 저장소
Bubble_Desc_BlacksmithStock |= 기성품 솔루션을 원하는 고객을 위해 단조한 공구를 여기로 보낼 수 있습니다. 작업자는 저장된 공구를 사용하여 고객에게 판매할 수도 있으므로 항상 재고를 확보해 두세요. 여기에서 재고를 주문할 수도 있습니다.
Bubble_Name_ApothCabinet |= 약재상 선반
Bubble_Desc_ApothCabinet |= 환자가 치료제가 필요한 경우, 환자가 기다리는 동안 치료제를 제작하거나 선반에서 이전에 제작하여 미리 보관한 아이템을 찾아볼 수 있습니다.
Bubble_Name_ApothMatStorage |= 약재상 재료 저장소
Bubble_Desc_ApothMatStorage |= 직원이 치료제를 제작할 때 사용할 재료를 이곳에 보관합니다. 여기에서 재고를 주문할 수도 있습니다.
Bubble_Name_Pantry |= 장부
Bubble_Desc_Pantry |= 배우자/가족이 요리에 사용할 수 있도록 식료품 저장고에 식재료를 보관할 수 있습니다. 배가 고픈데 요리할 수 있는 레시피가 없는 경우, 여기에 저장된 원재료를 먹게 됩니다. 요리하고 먹지 않는 재료는 모두 이곳에 저장하여 수집할 수 있습니다.
Bubble_Name_Sign |= 열림/닫음 표시
